Parent	Rule	D1	D2	revisedXrule	revisedYrule	revisedZrule
AB	0	ABa	ABp	0.810674206	-0.41488996	-0.079166015
ABa	0	ABal	ABar	0.277229035	-0.41281836	0.601224023
ABal	0	ABala	ABalp	0.365554222	0.175558064	0.771483617
ABala	0	ABalaa	ABalap	0.405103369	-0.126055448	-0.779412392
ABalaa	0	ABalaaa	ABalaap	0.519894082	0.561238746	0.362603125
ABalaaa	0	ABalaaaa	ABalaaap	0.19243683	-0.266540755	-0.839218236
ABalaaaa	0	ABalaaaal	ABalaaaar	-0.153738823	-0.50661641	0.785979822
ABalaaaal	0	ABalaaaala	ABalaaaalp	0.458655514	0.74937407	0.091164663
ABalaaaala	0	ABalaaaalal	ABalaaaalar	-0.358727633	-0.535039064	-0.396997352
ABalaaaalp	0	ABalaaaalpa	ABalaaaalpp	0.639134584	0.446646598	0.536972726
ABalaaaar	0	ABalaaaarl	ABalaaaarr	0.345673366	-0.817350255	0.037639202
ABalaaaarl	0	ABalaaaarla	ABalaaaarlp	0.301112515	-0.740699985	-0.22880181
ABalaaaarr	0	ABalaaaarra	ABalaaaarrp	0.059955527	0.703028907	-0.454036409
ABalaaap	0	ABalaaapa	ABalaaapp	0.818638923	-0.283890407	-0.358117301
ABalaaapa	0	ABalaaapal	ABalaaapar	-0.071924791	-0.844340882	-0.018743004
ABalaaapal	0	ABalaaapall	ABalaaapalr	-0.376379689	-0.76142489	-0.330796904
ABalaaapar	0	ABalaaaparl	ABalaaaparr	0.028728084	-0.742288202	-0.123266475
ABalaaapp	0	ABalaaappl	ABalaaappr	0.550507097	-0.709192188	0.07379283
ABalaaappl	0	ABalaaappll	ABalaaapplr	0.112100824	-0.818828369	0.414852589
ABalaaappr	0	ABalaaapprl	ABalaaapprr	0.415980006	-0.685030226	0.374147767
ABalaap	0	ABalaapa	ABalaapp	0.827248193	0.091922264	-0.223407964
ABalaapa	0	ABalaapaa	ABalaapap	0.834831847	-0.325787563	-0.298332804
ABalaapaa	0	ABalaapaaa	ABalaapaap	0.751173041	-0.461364274	0.283390201
ABalaapaaa	0	ABalaapaaal	ABalaapaaar	0.393706959	-0.510401632	0.575141549
ABalaapaap	0	ABalaapaapa	ABalaapaapp	0.714496584	-0.392986068	0.436566866
ABalaapap	0	ABalaapapa	ABalaapapp	0.834038003	-0.274633619	-0.080457573
ABalaapapp	0	ABalaapappa	ABalaapappp	0.774234661	-0.36901584	-0.183383521
ABalaapp	0	ABalaappa	ABalaappp	0.79195591	0.285122159	0.003103263
ABalaappa	0	ABalaappaa	ABalaappap	0.800149508	-0.184520617	-0.339936779
ABalaappap	0	ABalaappapa	ABalaappapp	0.771329488	-0.316426345	0.273192838
